name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
bridgeca,"Advanced Bridge Challenger","1979","Fidelity Electronics",vbrc,vbrc,-,YES,NO,NO,NO,NO,fidel_card.cpp,INCOMPLETO,-,"0",0,0,-,fidel_card.cpp
uvc,"Advanced Voice Chess Challenger","1980","Fidelity Electronics",vcc,vcc,-,YES,NO,NO,NO,NO,fidel_vcc.cpp,BUONO,-,"0",0,0,-,fidel_vcc.cpp
"arbv2","ARB V2 Sargon 4.0","2012","hack (Steve Braid)",arb,arb,-,YES,NO,NO,NO,NO,ave_arb.cpp,BUONO,-,"0",0,0,-,ave_arb.cpp
arb,"Auto Response Board","1980","AVE Micro Systems",-,-,-,YES,NO,NO,NO,NO,ave_arb.cpp,BUONO,-,"0",0,0,-,ave_arb.cpp
avrmax,"AVR-Max Chess Computer (English)","2009",Elektor,-,-,-,YES,NO,NO,NO,NO,avrmax.cpp,BUONO,-,"0",0,0,-,avrmax.cpp
avrmaxg,"AVR-Max-Schachzwerg (German)","2009",Elektor,avrmax,avrmax,-,YES,NO,NO,NO,NO,avrmax.cpp,BUONO,-,"0",0,0,-,avrmax.cpp
backgamc,"Backgammon Challenger","1979","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc7.cpp",BUONO,-,"0",0,0,-,"fidel_cc7.cpp"
bbcbc,"BBC Bridge Companion","1985",Unicard,-,-,-,YES,NO,NO,NO,NO,bbcbc.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,bbcbc.cpp
borisa,"Boris (rev. 00)","1978","Applied Concepts",boris,boris,-,YES,NO,NO,NO,NO,aci_boris.cpp,BUONO,-,"0",0,0,-,aci_boris.cpp
boris,"Boris (rev. 01)","1978","Applied Concepts",-,-,-,YES,NO,NO,NO,NO,aci_boris.cpp,BUONO,-,"0",0,0,-,aci_boris.cpp
borisdpl,"Boris Diplomat","1979","Applied Concepts",-,-,-,YES,NO,NO,NO,NO,aci_borisdpl.cpp,BUONO,-,"0",0,0,-,aci_borisdpl.cpp
bridgec,"Bridge Challenger","1979","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,fidel_card.cpp,INCOMPLETO,-,"0",0,0,-,fidel_card.cpp
"bridgec3","Bridge Challenger III","1982","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,fidel_card.cpp,INCOMPLETO,-,"0",0,0,-,fidel_card.cpp
csc,"Champion Sensory Chess Challenger","1981","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,fidel_csc.cpp,BUONO,-,"0",0,0,-,fidel_csc.cpp
"checkc4","Checker Challenger (model ACR, 4 levels)","1978","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc10.cpp",BUONO,-,"0",0,0,-,"fidel_cc10.cpp"
"checkc2","Checker Challenger (model CR, 2 levels)","1978","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_checkc2.cpp",BUONO,-,"0",0,0,-,"fidel_checkc2.cpp"
"ch2001","Chess 2001","1984","CXG Systems / Newcrest Technology",-,-,-,YES,NO,NO,NO,NO,"cxg_ch2001.cpp",BUONO,-,"0",0,0,-,"cxg_ch2001.cpp"
"cc1","Chess Challenger","1977","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc1.cpp",BUONO,-,"0",0,0,-,"fidel_cc1.cpp"
"cc10","Chess Challenger ""10"" (model CCX, rev. B)","1978","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc10.cpp",BUONO,-,"0",0,0,-,"fidel_cc10.cpp"
"cc10a","Chess Challenger ""10"" (model CCX)","1978","Fidelity Electronics","cc10","cc10",-,YES,NO,NO,NO,NO,"fidel_cc10.cpp",BUONO,-,"0",0,0,-,"fidel_cc10.cpp"
"cc7","Chess Challenger ""7"" (set 1)","1980","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc7.cpp",BUONO,-,"0",0,0,-,"fidel_cc7.cpp"
"cc7a","Chess Challenger ""7"" (set 2)","1979","Fidelity Electronics","cc7","cc7",-,YES,NO,NO,NO,NO,"fidel_cc7.cpp",BUONO,-,"0",0,0,-,"fidel_cc7.cpp"
"cc10c","Chess Challenger (model UCC10, 10 levels)","1979","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc1.cpp",BUONO,-,"0",0,0,-,"fidel_cc1.cpp"
"cc3","Chess Challenger (upgraded version, 3 levels)","1977","Fidelity Electronics",-,-,-,YES,NO,NO,NO,NO,"fidel_cc1.cpp",BUONO,-,"0",0,0,-,"fidel_cc1.cpp"
"cc2150","Chess Champion 2150","1988","Saitek / Tandy Corporation",simultano,simultano,-,YES,NO,NO,NO,NO,saitek_simultano.cpp,BUONO,SVG,"0",436,540,HORIZONTAL,saitek_simultano.cpp
"ccdelta1","Chess Champion: Delta-1","1980","SciSys / Novag",-,-,-,YES,NO,NO,NO,NO,"saitek_delta1.cpp",BUONO,-,"0",0,0,-,"saitek_delta1.cpp"
"ccmk5","Chess Champion: Mark V","1981","SciSys / Philidor Software",-,-,-,YES,NO,NO,NO,NO,"saitek_mark5.cpp",BUONO,SVG,"0",628,720,HORIZONTAL,"saitek_mark5.cpp"
"ccmk6","Chess Champion: Mark VI/Philidor","1982","SciSys / Philidor Software","ccmk5","ccmk5",-,YES,NO,NO,NO,NO,"saitek_mark5.cpp",BUONO,SVG,"0",628,720,HORIZONTAL,"saitek_mark5.cpp"
"ccmk1","Chess Champion: MK I","1978","bootleg (Novag)",cmpchess,cmpchess,-,YES,NO,NO,NO,NO,compuchess.cpp,BUONO,-,"0",0,0,-,compuchess.cpp
"ccmk2","Chess Champion: MK II (ver. 1)","1979",Novag,chmate,chmate,-,YES,NO,NO,NO,NO,chessmate.cpp,BUONO,-,"0",0,0,-,chessmate.cpp
"ccmk2a","Chess Champion: MK II (ver. 2)","1979",Novag,chmate,chmate,-,YES,NO,NO,NO,NO,chessmate.cpp,BUONO,-,"0",0,0,-,chessmate.cpp
"ssystem3","Chess Champion: Super System III","1979","SciSys / Novag",-,-,-,YES,NO,NO,NO,NO,"saitek_ssystem3.cpp",BUONO,SVG,"0",706,720,HORIZONTAL,"saitek_ssystem3.cpp"
"ssystem4","Chess Champion: Super System IV","1980",SciSys,-,-,-,YES,NO,NO,NO,NO,"saitek_ssystem3.cpp",BUONO,SVG,"0",960,364,HORIZONTAL,"saitek_ssystem3.cpp"
ccompan,"Chess Companion","1982",SciSys,-,-,-,YES,NO,NO,NO,NO,saitek_ccompan.cpp,BUONO,-,"0",0,0,-,saitek_ccompan.cpp
chesstrvi,"Chess Intercontinental Traveler","1982",SciSys,-,-,-,YES,NO,NO,NO,NO,saitek_chesstrv.cpp,BUONO,-,"0",0,0,-,saitek_chesstrv.cpp
"cp2000","Chess Partner 2000","1980","SciSys / Novag",-,-,-,YES,NO,NO,NO,NO,"saitek_cp2000.cpp",BUONO,-,"0",0,0,-,"saitek_cp2000.cpp"
