name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"v4sixxk","£6-X (BWB) (Release 3, 20p Fixed, All - Cash) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxc","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token, % Key) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxf","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token, Datapak, % Key) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxb","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token, Datapak) (set 1) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxd","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token, Datapak) (set 2) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixx","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token) (set 1) (MPU4 Video)","199?",BWB,-,-,-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxa","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token) (set 2) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxe","£6-X (BWB) (Release 3, 20p Fixed, Cash+Token) (set 3) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxm","£6-X (BWB) (Release 3, 20p Switchable to 10p, All - Cash, Datapak) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4sixxl","£6-X (BWB) (Release 3, 20p Switchable to 10p, All - Cash) (MPU4 Video)","199?",BWB,"v4sixx","v4sixx",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",PRELIMINARE,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
