name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"mc_dcat8","100 in 1 (D-CAT8 8bit Console, set 1) (v5.01.11-frd, BL 20041217)","2004",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_dcat8a","100 in 1 (D-CAT8 8bit Console, set 2)","2004",-,"mc_dcat8","mc_dcat8",-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_aa2","100 in 1 Arcade Action II (AT-103)","200?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_110cb","110 in 1 CoolBaby (CoolBoy RS-1S)","200?",CoolBoy,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"1292apvs","1292 Advanced Programmable Video System","1976",Radofin,-,-,-,YES,NO,NO,NO,NO,"vc4000.cpp",INCOMPLETO,RASTER,"0",177,270,HORIZONTAL,"vc4000.cpp"
"mc_138cb","138 in 1 CoolBaby (CoolBoy RS-5, PCB060-10009011V1.3)","200?",CoolBoy,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"1392apvs","1392 Advanced Programmable Video System","1976",Radofin,"1292apvs","1292apvs",-,YES,NO,NO,NO,NO,"vc4000.cpp",INCOMPLETO,RASTER,"0",177,270,HORIZONTAL,"vc4000.cpp"
"mc_tv200","200 in 1 Retro TV Game","201?","Thumbs Up",-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_105te","2011 Super HiK 105 in 1 Turbo Edition","200?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"silv35","35 in 1 Super Twins","200?","SilverLit / JungleTac",-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"3do","3DO (NTSC)","1993","The 3DO Company",-,-,-,YES,NO,NO,NO,NO,"3do.cpp",PRELIMINARE,RASTER,"0",1280,240,HORIZONTAL,"3do.cpp"
"3do_pal","3DO (PAL)","1993","The 3DO Company","3do","3do",-,YES,NO,NO,NO,NO,"3do.cpp",PRELIMINARE,RASTER,"0",1280,240,HORIZONTAL,"3do.cpp"
"mc_7x6ss","777777 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB)","200?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_8x6ss","888888 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB)","200?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_8x6cb","888888 in 1 (Coolboy AEF-390)","200?",CoolBoy,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_89in1","89 in 1 Mini Game Console (060-92023011V1.0)","201?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mtc9016","9016 Telespiel Computer (Germany)","1978",Mustang,"studio2","studio2",-,YES,NO,NO,NO,NO,"studio2.cpp",BUONO,RASTER,"0",96,288,HORIZONTAL,"studio2.cpp"
"mc_9x6sa","999999 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB)","200?",-,"mc_9x6ss","mc_9x6ss",-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"mc_9x6ss","999999 in 1 (PXP2 Slim Station)","200?",-,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
beena,"Advanced Pico BEENA","2009",Sega,-,-,-,YES,NO,NO,NO,NO,sega_beena.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,sega_beena.cpp
advision,"Adventure Vision","1982",Entex,-,-,-,YES,NO,NO,NO,NO,advision.cpp,INCOMPLETO,RASTER,"0",152,83,HORIZONTAL,advision.cpp
advsnha,"Advision Home Arcade","1983",Advision,arcadia,arcadia,-,YES,NO,NO,NO,NO,arcadia.cpp,INCOMPLETO,RASTER,"0",192,262,HORIZONTAL,arcadia.cpp
"cd32n","Amiga CD32 (NTSC)","1993",Commodore,"cd32","cd32",-,YES,NO,NO,NO,NO,amiga.cpp,PRELIMINARE,RASTER,"0",724,483,HORIZONTAL,amiga.cpp
"cd32","Amiga CD32 (PAL)","1993",Commodore,-,-,-,YES,NO,NO,NO,NO,amiga.cpp,PRELIMINARE,RASTER,"0",724,567,HORIZONTAL,amiga.cpp
"gx4000","Amstrad GX4000","1990","Amstrad plc",-,-,-,YES,NO,NO,NO,NO,amstrad.cpp,BUONO,RASTER,"0",704,144,HORIZONTAL,amstrad.cpp
"apfm1000","APF M-1000","1978","APF Electronics Inc.",-,-,-,YES,NO,NO,NO,NO,apf.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,apf.cpp
"apollo80","Apollo 80 (Germany)","1978",Academy,"studio2","studio2",-,YES,NO,NO,NO,NO,"studio2.cpp",BUONO,RASTER,"0",96,288,HORIZONTAL,"studio2.cpp"
bndarc,"Arcadia (Bandai)","1982",Bandai,arcadia,arcadia,-,YES,NO,NO,NO,NO,arcadia.cpp,INCOMPLETO,RASTER,"0",192,262,HORIZONTAL,arcadia.cpp
arcadia,"Arcadia 2001","1982",Emerson,-,-,-,YES,NO,NO,NO,NO,arcadia.cpp,INCOMPLETO,RASTER,"0",192,262,HORIZONTAL,arcadia.cpp
"a2600","Atari 2600 (NTSC)","1977",Atari,-,-,-,YES,NO,NO,NO,NO,"a2600.cpp",BUONO,RASTER,"0",176,223,HORIZONTAL,"a2600.cpp"
"a2600p","Atari 2600 (PAL)","1978",Atari,"a2600","a2600",-,YES,NO,NO,NO,NO,"a2600.cpp",BUONO,RASTER,"0",176,259,HORIZONTAL,"a2600.cpp"
"a5200","Atari 5200","1982",Atari,-,-,-,YES,NO,NO,NO,NO,"atari400.cpp",BUONO,RASTER,"0",336,225,HORIZONTAL,"atari400.cpp"
"a7800","Atari 7800 (NTSC)","1986",Atari,-,-,-,YES,NO,NO,NO,NO,"a7800.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"a7800.cpp"
"a7800p","Atari 7800 (PAL)","1986",Atari,"a7800","a7800",-,YES,NO,NO,NO,NO,"a7800.cpp",BUONO,RASTER,"0",320,260,HORIZONTAL,"a7800.cpp"
"afbm7800","Atari Flashback Mini 7800","2004","Atari / Nice Code",-,-,-,YES,NO,NO,NO,NO,nes_clone.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,nes_clone.cpp
xegs,"Atari XE Game System","1987",Atari,-,-,-,YES,NO,NO,NO,NO,"atari400.cpp",INCOMPLETO,RASTER,"0",336,225,HORIZONTAL,"atari400.cpp"
astrocdw,"Bally Computer System","1977","Bally Manufacturing",astrocde,astrocde,-,YES,NO,NO,NO,NO,astrohome.cpp,BUONO,RASTER,"0",352,240,HORIZONTAL,astrohome.cpp
astrocdl,"Bally Home Library Computer","1977","Bally Manufacturing",astrocde,astrocde,-,YES,NO,NO,NO,NO,astrohome.cpp,BUONO,RASTER,"0",352,240,HORIZONTAL,astrohome.cpp
astrocde,"Bally Professional Arcade","1978","Bally Manufacturing",-,-,-,YES,NO,NO,NO,NO,astrohome.cpp,BUONO,RASTER,"0",352,240,HORIZONTAL,astrohome.cpp
"cdimono1","CD-i (Mono-I) (PAL)","1991",Philips,-,-,-,YES,NO,NO,NO,NO,cdi.cpp,PRELIMINARE,RASTER,"0",192,22,HORIZONTAL,cdi.cpp
"cdimono2","CD-i (Mono-II) (NTSC)","1991",Philips,-,-,-,YES,NO,NO,NO,NO,cdi.cpp,PRELIMINARE,RASTER,"0",192,22,HORIZONTAL,cdi.cpp
"cdi490a","CD-i 490","1991",Philips,-,-,-,YES,NO,NO,NO,NO,cdi.cpp,PRELIMINARE,RASTER,"0",192,22,HORIZONTAL,cdi.cpp
"cdi910","CD-i 910-17P Mini-MMC (PAL)","1991",Philips,-,-,-,YES,NO,NO,NO,NO,cdi.cpp,PRELIMINARE,RASTER,"0",192,22,HORIZONTAL,cdi.cpp
cdtvn,"CDTV (NTSC)","1990",Commodore,cdtv,cdtv,-,YES,NO,NO,NO,NO,amiga.cpp,PRELIMINARE,RASTER,"0",724,483,HORIZONTAL,amiga.cpp
cdtv,"CDTV (PAL)","1990",Commodore,-,-,-,YES,NO,NO,NO,NO,amiga.cpp,PRELIMINARE,RASTER,"0",724,567,HORIZONTAL,amiga.cpp
cdx,"CDX (USA, NTSC)","1994",Sega,-,-,-,YES,NO,NO,NO,NO,megadriv.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megadriv.cpp
unichamp,"Champion 2711","1977",Unisonic,-,-,-,YES,NO,NO,NO,NO,unichamp.cpp,BUONO,RASTER,"0",174,112,HORIZONTAL,unichamp.cpp
channelf,"Channel F","1976",Fairchild,-,-,-,YES,NO,NO,NO,NO,channelf.cpp,BUONO,RASTER,"0",204,232,HORIZONTAL,channelf.cpp
"channlf2","Channel F II","1978",Fairchild,-,-,-,YES,NO,NO,NO,NO,channelf.cpp,BUONO,RASTER,"0",204,232,HORIZONTAL,channelf.cpp
"czz50","Chuang Zao Zhe 50","1986","Bit Corporation",-,-,-,YES,NO,NO,NO,NO,coleco.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,coleco.cpp
cpatrolm,"City Patrolman","200?",TimeTop,-,-,-,YES,NO,NO,NO,NO,"nes_sh6578.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_sh6578.cpp"
coleco,"ColecoVision (NTSC)","1982",Coleco,-,-,-,YES,NO,NO,NO,NO,coleco.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,coleco.cpp
colecop,"ColecoVision (PAL)","1983",Coleco,coleco,coleco,-,YES,NO,NO,NO,NO,coleco.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,coleco.cpp
"c64dtv","Commodore 64 Direct-to-TV (Version 2 050711) (PAL)","2005","The Toy:Lobster Company",-,-,-,YES,NO,NO,NO,NO,"c64dtv.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"c64dtv.cpp"
"c64gs","Commodore 64 Games System (PAL)","1990","Commodore Business Machines","c64","c64",-,YES,NO,NO,NO,NO,"c64.cpp",BUONO,RASTER,"0",403,284,HORIZONTAL,"c64.cpp"
lxcmcy,"Compact Cyber Arcade","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
"lxcmc250","Compact Cyber Arcade - 250-in-1 (JL2375)","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcycr,"Compact Cyber Arcade - Cars","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcydp,"Compact Cyber Arcade - Disney Princess","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcyfz,"Compact Cyber Arcade - Frozen","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcysp,"Compact Cyber Arcade - Marvel Ultimate Spider-Man","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcypp,"Compact Cyber Arcade - Paw Patrol","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcypj,"Compact Cyber Arcade - PJ Masks","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxcmcysw,"Compact Cyber Arcade - Star Wars Rebels","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxccatv,"Compact Cyber Arcade TV - 120 in 1 (JL2370)","2012",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxccplan,"Console Colour - Disney's Planes","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
lxccminn,"Console Colour - Minnie Mouse","200?",Lexibook,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
"mc_cb280","Coolboy RS-18 (280 in 1)","201?",CoolBoy,-,-,-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
crvision,CreatiVision,"1982","Video Technology",-,-,-,YES,NO,NO,NO,NO,crvision.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,crvision.cpp
crvisioj,"CreatiVision (Japan)","1982",Cheryco,crvision,crvision,-,YES,NO,NO,NO,NO,crvision.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,crvision.cpp
"crvisio2","CreatiVision MK-II (Europe)","1983","Video Technology",crvision,crvision,-,YES,NO,NO,NO,NO,crvision.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,crvision.cpp
