name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
flagrall,"'96 Flag Rally","1996",Promat?,-,-,-,YES,NO,NO,NO,NO,"1945kiii.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"1945kiii.cpp"
"005","005","1981",Sega,-,-,"005",YES,NO,NO,NO,NO,"segag80r.cpp",INCOMPLETO,RASTER,"270",256,224,VERTICAL,"segag80r.cpp"
"600","600","1981",Konami,turtles,turtles,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
abscam,Abscam,"1981","GL (US Billiards license)",puckman,puckman,-,YES,NO,NO,NO,NO,pacman.cpp,BUONO,RASTER,"90",288,224,VERTICAL,pacman.cpp
actionhw,"Action Hollywood","1995",TCH,-,-,-,YES,NO,NO,NO,NO,kickgoal.cpp,INCOMPLETO,RASTER,"0",352,240,HORIZONTAL,kickgoal.cpp
superbon,"Agent Super Bond (Super Cobra conversion)","1985","Signatron USA",-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,PRELIMINARE,RASTER,"90",768,224,VERTICAL,galaxian.cpp
alibaba,"Ali Baba and 40 Thieves","1982",Sega,-,-,-,YES,NO,NO,NO,NO,pacman.cpp,PRELIMINARE,RASTER,"90",288,224,VERTICAL,pacman.cpp
alienar,"Alien Arena","1985","Duncan Brown",-,-,-,YES,NO,NO,NO,NO,williams.cpp,BUONO,RASTER,"0",292,240,HORIZONTAL,williams.cpp
alienaru,"Alien Arena (Stargate upgrade)","1985","Duncan Brown",alienar,alienar,-,YES,NO,NO,NO,NO,williams.cpp,BUONO,RASTER,"0",292,240,HORIZONTAL,williams.cpp
mt_asyn,"Alien Syndrome (Mega-Tech, SMS based)","1987",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
aliensynjo,"Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
"aliensyn2","Alien Syndrome (set 2, System 16A, FD1089A 317-0033)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
"aliensyn3","Alien Syndrome (set 3, System 16B, FD1089A 317-0033)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
aliensyn,"Alien Syndrome (set 4, System 16B, unprotected)","1987",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"aliensyn5","Alien Syndrome (set 5, System 16A, FD1089B 317-0037)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
aliensynj,"Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"aliensyn7","Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)","1987",Sega,aliensyn,aliensyn,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
aligatoruna,"Alligator Hunt (unprotected, set 2)","1994",Gaelco,aligator,aligator,-,YES,NO,NO,NO,NO,"gaelco2.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"gaelco2.cpp"
maze,"Amazing Maze","1976",Midway,-,-,-,YES,NO,NO,NO,NO,"mw8080bw.cpp",BUONO,RASTER,"0",260,224,HORIZONTAL,"mw8080bw.cpp"
anteatergg,"Ameisenbaer (German, Galaxian hardware)","1982",bootleg,anteater,anteater,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
anteaterg,"Ameisenbaer (German)","1982","Tago Electronics (TV-Tuning license from Free Enterprise Games)",anteater,anteater,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amidar,Amidar,"1982",Konami,-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amidarb,"Amidar (bootleg)","1982",bootleg,amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"amidar1","Amidar (older)","1981",Konami,amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amidaro,"Amidar (Olympia)","1982","Konami (Olympia license)",amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amidars,"Amidar (Scramble hardware)","1982",Konami,amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amidaru,"Amidar (Stern Electronics)","1982","Konami (Stern Electronics license)",amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
amigo,"Amigo (bootleg of Amidar, set 1)","1982",bootleg,amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"amigo2","Amigo (bootleg of Amidar, set 2)","1982",bootleg,amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,INCOMPLETO,RASTER,"90",512,224,VERTICAL,galaxian.cpp
anteater,Anteater,"1982","Tago Electronics",-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
armora,"Armor Attack","1980",Cinematronics,-,-,-,YES,NO,NO,NO,NO,cinemat.cpp,BUONO,VECTOR,"180",0,0,-,cinemat.cpp
armorap,"Armor Attack (prototype)","1980",Cinematronics,armora,armora,-,YES,NO,NO,NO,NO,cinemat.cpp,BUONO,VECTOR,"180",0,0,-,cinemat.cpp
armorar,"Armor Attack (Rock-Ola)","1980","Cinematronics (Rock-Ola license)",armora,armora,-,YES,NO,NO,NO,NO,cinemat.cpp,BUONO,VECTOR,"180",0,0,-,cinemat.cpp
armorcar,"Armored Car (set 1)","1981","Stern Electronics",-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"armorcar2","Armored Car (set 2)","1981","Stern Electronics",armorcar,armorcar,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
atompunk,"Atomic Punk (US)","1991","Irem America (licensed from Hudson Soft)",dynablst,dynablst,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
banbam,BanBam,"1984","Sun Electronics",-,-,-,YES,NO,NO,NO,NO,markham.cpp,PRELIMINARE,RASTER,"0",240,224,HORIZONTAL,markham.cpp
baracuda,Barracuda,"1981","hack (Coinex)",puckman,puckman,-,YES,NO,NO,NO,NO,pacman.cpp,BUONO,RASTER,"90",288,224,VERTICAL,pacman.cpp
barricad,Barricade,"1976",Ramtek,-,-,-,YES,NO,NO,NO,NO,hitme.cpp,INCOMPLETO,RASTER,"0",256,192,HORIZONTAL,hitme.cpp
berzerkf,"Berzerk (French Speech, revision RC31)","1980","Stern Electronics",berzerk,berzerk,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
berzerkg,"Berzerk (German Speech, revision RC32)","1980","Stern Electronics",berzerk,berzerk,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
berzerkb,"Berzerk (revision RC28)","1980","Stern Electronics",berzerk,berzerk,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
berzerka,"Berzerk (revision RC31)","1980","Stern Electronics",berzerk,berzerk,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
berzerk,"Berzerk (revision RC31A)","1980","Stern Electronics",-,-,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
berzerks,"Berzerk (Spanish Speech, revision RC32)","1980","Stern Electronics (Sonic License)",berzerk,berzerk,-,YES,NO,NO,NO,NO,berzerk.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,berzerk.cpp
bbonk,"Bigfoot Bonkers","1976","Meadows Games, Inc.",-,-,-,YES,NO,NO,NO,NO,lazercmd.cpp,BUONO,RASTER,"0",256,230,HORIZONTAL,lazercmd.cpp
blasto,Blasto,"1978",Gremlin,-,-,blockade,YES,NO,NO,NO,NO,blockade.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,blockade.cpp
blockade,Blockade,"1976",Gremlin,-,-,blockade,YES,NO,NO,NO,NO,blockade.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,blockade.cpp
blueprntj,"Blue Print (Jaleco)","1982","Zilec Electronics / Jaleco",blueprnt,blueprnt,-,YES,NO,NO,NO,NO,blueprnt.cpp,BUONO,RASTER,"270",256,224,VERTICAL,blueprnt.cpp
blueprnt,"Blue Print (Midway)","1982","Zilec Electronics / Bally Midway",-,-,-,YES,NO,NO,NO,NO,blueprnt.cpp,BUONO,RASTER,"270",256,224,VERTICAL,blueprnt.cpp
bballoon,"BnB Arcade","2003",Eolith,-,-,-,YES,NO,NO,NO,NO,ghosteo.cpp,INCOMPLETO,RASTER,"0",320,256,HORIZONTAL,ghosteo.cpp
bomblord,"Bomber Lord (bootleg)","1992",bootleg,bbmanw,bbmanw,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
bombrman,"Bomber Man (Japan)","1991","Irem (licensed from Hudson Soft)",dynablst,dynablst,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
bbmanwja,"Bomber Man World (Japan, revised sound hardware)","1992",Irem,bbmanw,bbmanw,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
bbmanwj,"Bomber Man World (Japan)","1992",Irem,bbmanw,bbmanw,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
bbmanw,"Bomber Man World / New Dyna Blaster - Global Quest","1992",Irem,-,-,-,YES,NO,NO,NO,NO,"m90.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"m90.cpp"
boobhack,"Booby Kids (Italian manufactured graphic hack / bootleg of Kid no Hore Hore Daisakusen (bootleg))","1987",bootleg,horekid,horekid,-,YES,NO,NO,NO,NO,terracre.cpp,BUONO,RASTER,"270",256,224,VERTICAL,terracre.cpp
borenchj,"Borench (Japan)","1990",Sega,borench,borench,-,YES,NO,NO,NO,NO,"segac2.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"segac2.cpp"
borench,"Borench (set 1)","1990",Sega,-,-,-,YES,NO,NO,NO,NO,"segac2.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"segac2.cpp"
borencha,"Borench (set 2)","1990",Sega,borench,borench,-,YES,NO,NO,NO,NO,"segac2.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"segac2.cpp"
botanic,"Botanic (English / Spanish, set 1)","1983",Itisa,-,-,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"90",256,224,VERTICAL,bagman.cpp
"botanic2","Botanic (English / Spanish, set 2)","1983",Itisa,botanic,botanic,-,YES,NO,NO,NO,NO,bagman.cpp,PRELIMINARE,RASTER,"90",256,224,VERTICAL,bagman.cpp
botanicf,"Botanic (French)","1984","Itisa (Valadon Automation license)",botanic,botanic,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"270",256,224,VERTICAL,bagman.cpp
cbdash,"Boulder Dash (DECO Cassette) (US)","1985","Data East Corporation",decocass,-,-,YES,NO,NO,NO,NO,decocass.cpp,BUONO,RASTER,"270",256,240,VERTICAL,decocass.cpp
