name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"fisco400","Cisco/Fisco 400 [TTL]","1977",Taito,-,-,-,YES,NO,NO,NO,NO,taitottl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,taitottl.cpp
crashnsc,"Crash 'n Score/Stock Car [TTL]","1975",Atari,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
deathrac,"Death Race [TTL]","1976",Exidy,-,-,-,YES,NO,NO,NO,NO,exidyttl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,exidyttl.cpp
dmodrbcc,"Demolition Derby [TTL]","1976","Chicago Coin",-,-,-,YES,NO,NO,NO,NO,chicago.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,chicago.cpp
destdrby,"Destruction Derby [TTL]","1976",Exidy,-,-,-,YES,NO,NO,NO,NO,exidyttl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,exidyttl.cpp
fonz,"Fonz [TTL]","1976",Sega,-,-,-,YES,NO,NO,NO,NO,segattl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,segattl.cpp
"gtrak10a","Gran Trak 10/Trak 10/Formula K (older) [TTL]","1974",Atari/Kee,"gtrak10","gtrak10",-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
"gtrak10","Gran Trak 10/Trak 10/Formula K [TTL]","1974",Atari/Kee,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",451,521,HORIZONTAL,atarittl.cpp
"gtrak20","Gran Trak 20/Trak 20/Twin Racer [TTL]","1974",Atari/Kee,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
"indy4","Indy 4 [TTL]","1976",Atari/Kee,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
"indy800","Indy 800 [TTL]","1975",Atari/Kee,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"90",455,262,VERTICAL,atarittl.cpp
lemans,"Le Mans [TTL]","1976",Atari,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
monacogp,"Monaco GP (set 1) [TTL]","1980",Sega,-,-,-,YES,NO,NO,NO,NO,monacogp.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,monacogp.cpp
monacogpa,"Monaco GP (set 2) [TTL]","1980",Sega,monacogp,monacogp,-,YES,NO,NO,NO,NO,monacogp.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,monacogp.cpp
rhunting,"Robot Hunting (bootleg of Death Race) [TTL]","1976",bootleg,deathrac,deathrac,-,YES,NO,NO,NO,NO,exidyttl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,exidyttl.cpp
sburners,"Street Burners [TTL]","1975","Allied Leisure",-,-,-,YES,NO,NO,NO,NO,aleisttl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,aleisttl.cpp
stuntcyc,"Stunt Cycle [TTL]","1976",Atari,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",456,260,HORIZONTAL,atarittl.cpp
ttsracec,"T.T. Speed Race CL [TTL]","1978",Taito,-,-,-,YES,NO,NO,NO,NO,taitottl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,taitottl.cpp
