name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
aliencr,"Alien Crush (United Amusements PC Engine)","1989","Hudson Soft",-,-,-,YES,NO,NO,NO,NO,uapce.cpp,INCOMPLETO,RASTER,"0",1088,242,HORIZONTAL,uapce.cpp
brkball,"Break Ball","1994",BFM/ATOD,-,-,-,YES,NO,NO,NO,NO,bfcobra.cpp,INCOMPLETO,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
flipjack,"Flipper Jack","1983?","Jackson Co., Ltd.",-,-,-,YES,NO,NO,NO,NO,flipjack.cpp,INCOMPLETO,RASTER,"270",256,192,VERTICAL,flipjack.cpp
galspnbl,"Gals Pinball","1996",Comad,-,-,-,YES,NO,NO,NO,NO,galspnbl.cpp,BUONO,RASTER,"90",512,224,VERTICAL,galspnbl.cpp
gcpinbal,"Grand Cross v1.02F","1994","Excellent System",-,-,-,YES,NO,NO,NO,NO,gcpinbal.cpp,INCOMPLETO,RASTER,"270",320,224,VERTICAL,gcpinbal.cpp
hotpinbl,"Hot Pinball","1995","Comad & New Japan System",-,-,-,YES,NO,NO,NO,NO,galspnbl.cpp,BUONO,RASTER,"90",512,224,VERTICAL,galspnbl.cpp
musicbal,"Music Ball","1988","Tecfri / Desystem S.A.",-,-,-,YES,NO,NO,NO,NO,speedbal.cpp,BUONO,RASTER,"270",256,224,VERTICAL,speedbal.cpp
pkgnsh,"Pachinko Gindama Shoubu (Japan)","1998","Nakanihon / Dynax",-,-,-,YES,NO,NO,NO,NO,realbrk.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,realbrk.cpp
pkgnshdx,"Pachinko Gindama Shoubu DX (Japan)","1998","Nakanihon / Dynax",-,-,-,YES,NO,NO,NO,NO,realbrk.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,realbrk.cpp
sxyreact,"Pachinko Sexy Reaction (Japan)","1998",Sammy,-,-,-,YES,NO,NO,NO,NO,ssv.cpp,BUONO,RASTER,"0",338,240,HORIZONTAL,ssv.cpp
"sxyreac2","Pachinko Sexy Reaction 2 (Japan)","1999",Sammy,-,-,-,YES,NO,NO,NO,NO,ssv.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ssv.cpp
panicrg,"Panic Road (Germany)","1986","Seibu Kaihatsu (Tuning license)",panicr,panicr,-,YES,NO,NO,NO,NO,panicr.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,panicr.cpp
panicr,"Panic Road (Japan)","1986","Seibu Kaihatsu (Taito license)",-,-,-,YES,NO,NO,NO,NO,panicr.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,panicr.cpp
pbaction,"Pinball Action (set 1)","1985",Tehkan,-,-,-,YES,NO,NO,NO,NO,pbaction.cpp,BUONO,RASTER,"90",256,224,VERTICAL,pbaction.cpp
