name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"arknoid2b","Arkanoid - Revenge of DOH (Japan bootleg)","1987",bootleg,"arknoid2","arknoid2",-,YES,NO,NO,NO,NO,tnzs.cpp,BUONO,RASTER,"270",256,224,VERTICAL,tnzs.cpp
"arknoid2j","Arkanoid - Revenge of DOH (Japan)","1987","Taito Corporation","arknoid2","arknoid2",-,YES,NO,NO,NO,NO,tnzs.cpp,BUONO,RASTER,"270",256,224,VERTICAL,tnzs.cpp
"arknoid2u","Arkanoid - Revenge of DOH (US)","1987","Taito America Corporation (Romstar license)","arknoid2","arknoid2",-,YES,NO,NO,NO,NO,tnzs.cpp,BUONO,RASTER,"270",256,224,VERTICAL,tnzs.cpp
"arknoid2","Arkanoid - Revenge of DOH (World)","1987","Taito Corporation Japan",-,-,-,YES,NO,NO,NO,NO,tnzs.cpp,BUONO,RASTER,"270",256,224,VERTICAL,tnzs.cpp
arkgcbl,"Arkanoid (bootleg on Block hardware, set 1)","1986",bootleg,arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
arkgcbla,"Arkanoid (bootleg on Block hardware, set 2)","1986",bootleg,arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
"ark1ball","Arkanoid (bootleg with MCU, harder)","1986",bootleg,arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
arkanoidjbl,"Arkanoid (bootleg with MCU, set 1)","1986",bootleg,arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
"arkanoidjbl2","Arkanoid (bootleg with MCU, set 2)","1986","bootleg (Beta)",arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
arkangc,"Arkanoid (Game Corporation bootleg, set 1)","1986","bootleg (Game Corporation)",arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
"arkangc2","Arkanoid (Game Corporation bootleg, set 2)","1986","bootleg (Game Corporation)",arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
arkanoidja,"Arkanoid (Japan, newer w/level select)","1986","Taito Corporation",arkanoid,arkanoid,-,YES,NO,NO,NO,NO,arkanoid.cpp,BUONO,RASTER,"90",256,224,VERTICAL,arkanoid.cpp
