name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"ai1000","AI-1000","1989",Casio,"pb2000c","pb2000c",-,YES,NO,NO,NO,NO,"pb1000.cpp",PRELIMINARE,LCD,"0",192,32,HORIZONTAL,"pb1000.cpp"
astro,Astro,"1979",Kosmos,-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
busicom,"Busicom 141-PF","1974","Business Computer Corporation",-,-,-,YES,NO,NO,NO,NO,busicom.cpp,PRELIMINARE,RASTER,"0",680,484,HORIZONTAL,busicom.cpp
cambrp,"Cambridge Programmable","1977","Sinclair Radionics",-,-,-,YES,NO,NO,NO,NO,"hh_cops1.cpp",BUONO,-,"0",0,0,-,"hh_cops1.cpp"
"cfx9850","CFX-9850G","1996",Casio,-,-,-,YES,NO,NO,NO,NO,"cfx9850.cpp",PRELIMINARE,LCD,"0",128,64,HORIZONTAL,"cfx9850.cpp"
"cc40","Compact Computer 40","1983","Texas Instruments",-,-,-,YES,NO,NO,NO,NO,"cc40.cpp",BUONO,LCD,"0",187,11,HORIZONTAL,"cc40.cpp"
"cc40p","Compact Computer 40 Plus (prototype)","1984","Texas Instruments","cc40","cc40",-,YES,NO,NO,NO,NO,"cc40.cpp",BUONO,LCD,"0",187,11,HORIZONTAL,"cc40.cpp"
nummunch,"Electronic Number Muncher","1989",VTech,-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1920,875,HORIZONTAL,"hh_sm510.cpp"
"hp38g","HP38G","1995","Hewlett Packard",-,-,-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp39g","HP39G","2000","Hewlett Packard",-,-,-,YES,NO,NO,NO,NO,"hp48.cpp",PRELIMINARE,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp48g","HP48G","1993","Hewlett Packard","hp48gx","hp48gx",-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp48gp","HP48G+","1998","Hewlett Packard","hp48gx","hp48gx",-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp48gx","HP48GX","1993","Hewlett Packard",-,-,-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp48s","HP48S","1991","Hewlett Packard","hp48sx","hp48sx",-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
"hp48sx","HP48SX","1990","Hewlett Packard",-,-,-,YES,NO,NO,NO,NO,"hp48.cpp",BUONO,RASTER,"0",131,64,HORIZONTAL,"hp48.cpp"
