name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
yes,:YES,"1985",Philips,-,-,-,YES,NO,NO,NO,NO,yes.cpp,PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,yes.cpp
"so025d2","025D2","199?",SOYO,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"so025k2","025K2","199?",SOYO,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"so025r2","025R2","199?",SOYO,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
jouet,"10 Jeux Interactifs / Jeux Pour Filles (France)","200?",-,-,-,-,YES,NO,NO,NO,NO,"spg2xx.cpp",PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,"spg2xx.cpp"
"lee1214d","1214D Display Terminal","1985","Lee Data",-,-,-,YES,NO,NO,NO,NO,"lee1214.cpp",PRELIMINARE,-,"0",0,0,-,"lee1214.cpp"
"lee1220","1220 Display Terminal","1983","Lee Data",-,-,-,YES,NO,NO,NO,NO,"lee1220.cpp",PRELIMINARE,RASTER,"0",960,400,HORIZONTAL,"lee1220.cpp"
"hazl1420","1420 Video Display Terminal","1979",Hazeltine,-,-,-,YES,NO,NO,NO,NO,"hazl1420.cpp",PRELIMINARE,RASTER,"0",560,240,HORIZONTAL,"hazl1420.cpp"
"ie15","15IE-00-013","1980",USSR,-,-,-,YES,NO,NO,NO,NO,"ie15.cpp",BUONO,RASTER,"0",800,275,HORIZONTAL,"ie15.cpp"
"cbnt2039","2039 Controller","1993",Cablenet,-,-,-,YES,NO,NO,NO,NO,"cbnt2039.cpp",PRELIMINARE,-,"0",0,0,-,"cbnt2039.cpp"
"cd2650","2650 Computer System","1977","Central Data",-,-,-,YES,NO,NO,NO,NO,"cd2650.cpp",BUONO,RASTER,"0",640,192,HORIZONTAL,"cd2650.cpp"
"cdtekg2","286 mainboard with Headland G2 chipset","199?",CDTEK,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"cmpa286","286 motherboard","198?","CMP enterprise CO.LTD.","ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"octekg2","286 motherboard with Headland G2 chipset","199?",Octek,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"vlsi5","286 motherboards with 5-chip VLSI chipset","198?",-,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
