name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
gtmro,"1000 Miglia: Great 1000 Miles Rally (94/05/10)","1994",Kaneko,gtmr,gtmr,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko16.cpp"
gtmrb,"1000 Miglia: Great 1000 Miles Rally (94/05/26)","1994",Kaneko,gtmr,gtmr,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko16.cpp"
gtmra,"1000 Miglia: Great 1000 Miles Rally (94/06/13)","1994",Kaneko,gtmr,gtmr,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko16.cpp"
gtmr,"1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)","1994",Kaneko,-,-,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko16.cpp"
"18wheelr","18 Wheeler (deluxe, Rev A)","2000",Sega,naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
"18wheelrt","18 Wheeler (deluxe, Rev T)","2000",Sega,"18wheelr","18wheelr",-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
"18wheelro","18 Wheeler (deluxe)","2000",Sega,"18wheelr","18wheelr",-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
"18wheels","18 Wheeler (standard)","2000",Sega,"18wheelr","18wheelr",-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
"18wheelu","18 Wheeler (upright)","2000",Sega,"18wheelr","18wheelr",-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
"280zzzap","280-ZZZAP","1976","Dave Nutting Associates / Midway",-,-,-,YES,NO,NO,NO,NO,"mw8080bw.cpp",BUONO,RASTER,"0",260,224,HORIZONTAL,"mw8080bw.cpp"
"500gp","500 GP (US, 5GP3 Ver. C)","1998",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos23.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"namcos23.cpp"
abcopjd,"A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)","1990",bootleg,abcop,abcop,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
abcopj,"A.B. Cop (Japan) (FD1094 317-0169b)","1990",Sega,abcop,abcop,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
abcopd,"A.B. Cop (World) (bootleg of FD1094 317-0169b set)","1990",bootleg,abcop,abcop,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
abcop,"A.B. Cop (World) (FD1094 317-0169b)","1990",Sega,-,-,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
acedrvrw,"Ace Driver: Racing Evolution (Rev. AD2, World)","1994",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
victlapj,"Ace Driver: Victory Lap (Rev. ADV1, Japan)","1996",Namco,victlapw,victlapw,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
victlapw,"Ace Driver: Victory Lap (Rev. ADV2, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
airrace,"Air Race (prototype)","1985","Atari Games",-,-,-,YES,NO,NO,NO,NO,"atarisy4.cpp",INCOMPLETO,RASTER,"0",512,384,HORIZONTAL,"atarisy4.cpp"
alpilotj,"Airline Pilots (Japan, Rev A)","1999",Sega,naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
alpilot,"Airline Pilots (World, Rev B)","1999",Sega,airlbios,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
amspdwy,"American Speedway (set 1)","1987","Enerdyne Technologies Inc.",-,-,-,YES,NO,NO,NO,NO,amspdwy.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,amspdwy.cpp
amspdwya,"American Speedway (set 2)","1987","Enerdyne Technologies Inc.",amspdwy,amspdwy,-,YES,NO,NO,NO,NO,amspdwy.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,amspdwy.cpp
apbf,"APB - All Points Bulletin (French)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
apbg,"APB - All Points Bulletin (German)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb1","APB - All Points Bulletin (rev 1)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb2","APB - All Points Bulletin (rev 2)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb3","APB - All Points Bulletin (rev 3)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb4","APB - All Points Bulletin (rev 4)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb5","APB - All Points Bulletin (rev 5)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
"apb6","APB - All Points Bulletin (rev 6)","1987","Atari Games",apb,apb,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
apb,"APB - All Points Bulletin (rev 7)","1987","Atari Games",-,-,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
aquajet,"Aqua Jet (Rev. AJ2 Ver.B, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
arctthnd,"Arctic Thunder (v1.002)","2001","Midway Games",-,-,-,YES,NO,NO,NO,YES,midqslvr.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,midqslvr.cpp
adillorj,"Armadillo Racing (Rev. AM1 Ver.A, Japan)","1997",Namco,adillor,adillor,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
adillor,"Armadillo Racing (Rev. AM2 Ver.A, World)","1997",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
aplarail,"Attack Pla Rail (Japan, AP1/VER.A)","1998","Namco / Tomy",-,-,-,YES,NO,NO,NO,NO,"namcos12.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos12.cpp"
atvtrack,"ATV Track (set 1)","2002",Gaelco,-,-,-,YES,NO,NO,NO,NO,atvtrack.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,atvtrack.cpp
atvtracka,"ATV Track (set 2)","2002",Gaelco,atvtrack,atvtrack,-,YES,NO,NO,NO,NO,atvtrack.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,atvtrack.cpp
backfire,"Backfire! (Japan, set 1)","1995","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,backfire.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,backfire.cpp
backfirea,"Backfire! (Japan, set 2)","1995","Data East Corporation",backfire,backfire,-,YES,NO,NO,NO,NO,backfire.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,backfire.cpp
badlands,"Bad Lands","1989","Atari Games",-,-,-,YES,NO,NO,NO,NO,badlands.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,badlands.cpp
