name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"64streetj","64th. Street - A Detective Story (Japan, set 1)","1991",Jaleco,"64street","64street",-,YES,NO,NO,NO,NO,"megasys1.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"megasys1.cpp"
"64streetja","64th. Street - A Detective Story (Japan, set 2)","1991",Jaleco,"64street","64street",-,YES,NO,NO,NO,NO,"megasys1.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"megasys1.cpp"
"64street","64th. Street - A Detective Story (World)","1991",Jaleco,-,-,-,YES,NO,NO,NO,NO,"megasys1.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"megasys1.cpp"
aoh,"Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)","2001",Unico,-,-,-,YES,NO,NO,NO,NO,vamphalf.cpp,BUONO,RASTER,"0",384,224,HORIZONTAL,vamphalf.cpp
aodk,"Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)","1994","ADK / SNK",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
ausfache,"Akatsuki Blitzkampf Ausf. Achse (Japan)","2008","Subtle Style",naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
alienchac,"Alien Challenge (China)","1994",IGS,aliencha,aliencha,-,YES,NO,NO,NO,NO,lordgun.cpp,BUONO,RASTER,"0",448,224,HORIZONTAL,lordgun.cpp
aliencha,"Alien Challenge (World)","1994",IGS,-,-,-,YES,NO,NO,NO,NO,lordgun.cpp,BUONO,RASTER,"0",448,224,HORIZONTAL,lordgun.cpp
avspa,"Alien vs. Predator (Asia 940520)","1994",Capcom,avsp,avsp,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
avspd,"Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)","1994",bootleg,avsp,avsp,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
avsp,"Alien vs. Predator (Euro 940520)","1994",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
avsph,"Alien vs. Predator (Hispanic 940520)","1994",Capcom,avsp,avsp,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
avspj,"Alien vs. Predator (Japan 940520)","1994",Capcom,avsp,avsp,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
avspu,"Alien vs. Predator (USA 940520)","1994",Capcom,avsp,avsp,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
kovshxas,"Aoshi Sanguo (bootleg of Knights of Valour Super Heroes Plus, V202CN, Oct 6 2008 09:59:26)","2008",bootleg,kovshp,kovshp,-,YES,NO,NO,NO,NO,pgm.cpp,PRELIMINARE,RASTER,"0",448,224,HORIZONTAL,pgm.cpp
arabfgtj,"Arabian Fight (Japan)","1991",Sega,arabfgt,arabfgt,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
arabfgtu,"Arabian Fight (US)","1991",Sega,arabfgt,arabfgt,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
arabfgt,"Arabian Fight (World)","1991",Sega,-,-,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
