name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
tgoldeye,"007: GoldenEye (handheld)","1995","Tiger Electronics",-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1461,1080,HORIZONTAL,"hh_sm510.cpp"
"sen101","101 Games in 1 (Senario, NES/Famicom bootlegs)","2009",Senario,-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"f2pbball","2 Player Baseball (Fonas)","1979",Fonas,-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
"senario25","25 Video Games - All in 1 Video System (Senario)","200?","Senario / JungleTac",-,-,-,YES,NO,NO,NO,NO,"nes_vt09.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt09.cpp"
"f3in1","3 in 1: Football, Basketball, Soccer","1979",Fonas,-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
"abl4play","4 Player System - 10 in 1","200?","Advance Bright Ltd",-,-,-,YES,NO,NO,NO,NO,trkfldch.cpp,PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,trkfldch.cpp
"sudo6in1","6-in-1 Sudoku Plug & Play","200?","Nice Code",-,-,-,YES,NO,NO,NO,NO,"nes_vt02_vt03.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt02_vt03.cpp"
"7in1ss","7 in 1 Sports Stadium","1982","Tiger Electronics",-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
airblsjs,"Air-Blaster Joystick (AB1500, PAL)","2005","Advance Bright Ltd",-,-,-,YES,NO,NO,NO,NO,"elan_eu3a05.cpp",PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,"elan_eu3a05.cpp"
alnattck,"Alien Attack","1981",Coleco,-,-,-,YES,NO,NO,NO,NO,"hh_hmcs40.cpp",BUONO,SVG,"0",1920,700,HORIZONTAL,"hh_hmcs40.cpp"
alnchase,"Alien Chase","1984",Tomy,-,-,-,YES,NO,NO,NO,NO,"hh_ucom4.cpp",BUONO,SVG,"0",365,1080,HORIZONTAL,"hh_ucom4.cpp"
taltbeast,"Altered Beast (handheld)","1990","Tiger Electronics (licensed from Sega)",-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1455,1080,HORIZONTAL,"hh_sm510.cpp"
amaztron,Amaze-A-Tron,"1978",Coleco,-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",INCOMPLETO,-,"0",0,0,-,"hh_tms1k.cpp"
"tapollo13","Apollo 13 (handheld)","1995","Tiger Electronics",-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1467,1080,HORIZONTAL,"hh_sm510.cpp"
supreme,"Arcade Classics Mini Handheld Arcade (Supreme 150)","201?","Fizz Creations",-,-,-,YES,NO,NO,NO,NO,"st2302u_bbl_spi.cpp",PRELIMINARE,LCD,"0",160,128,HORIZONTAL,"st2302u_bbl_spi.cpp"
arrball,"Arrange Ball","1980","A-One LSI",-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
astrocmd,"Astro Command","1982",Epoch,-,-,-,YES,NO,NO,NO,NO,"hh_ucom4.cpp",BUONO,SVG,"0",1920,525,HORIZONTAL,"hh_ucom4.cpp"
auslalom,Autoslalom,"1990",Elektronika,-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1732,1080,HORIZONTAL,"hh_sm510.cpp"
tbttf,"Back to the Future (handheld)","1992","Tiger Electronics",-,-,-,YES,NO,NO,NO,NO,"hh_sm510.cpp",BUONO,SVG,"0",1466,1080,HORIZONTAL,"hh_sm510.cpp"
bankshot,"Bank Shot - Electronic Pool","1980","Parker Brothers",-,-,-,YES,NO,NO,NO,NO,"hh_tms1k.cpp",BUONO,-,"0",0,0,-,"hh_tms1k.cpp"
rad_bdp,"Barbie Dance Party","2002","Radica / Mattel / SSD Company LTD",-,-,-,YES,NO,NO,NO,NO,xavix.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,xavix.cpp
mbaskb,"Basketball (Mattel)","1978",Mattel,-,-,-,YES,NO,NO,NO,NO,"hh_cops1.cpp",BUONO,-,"0",0,0,-,"hh_cops1.cpp"
