name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"19in1","19 in 1 MAME bootleg (BAR-V000)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"unkra200","200 in 1 Retro Arcade","201?",-,"mc_tv200","mc_tv200",-,YES,NO,NO,NO,NO,"nes_vt369_vtunknown.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"nes_vt369_vtunknown.cpp"
"39in1","39 in 1 MAME bootleg (GNO-V000)","2004",bootleg,-,-,-,YES,NO,NO,NO,NO,"39in1.cpp",INCOMPLETO,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"4in1","4 Fun in 1","1981","Armenia / Food and Fun",-,-,-,YES,NO,NO,NO,NO,galaxold.cpp,INCOMPLETO,RASTER,"90",256,224,VERTICAL,galaxold.cpp
"4in1a","4 in 1 MAME bootleg (set 1, ver 3.00, PLZ-V014)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"4in1b","4 in 1 MAME bootleg (set 2, PLZ-V001)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"48in1","48 in 1 MAME bootleg (set 1, ver 3.09, HPH-V000)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"48in1b","48 in 1 MAME bootleg (set 2, ver 3.09, HPH-V000, alt flash)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"48in1a","48 in 1 MAME bootleg (set 3, ver 3.02, HPH-V000)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"60in1","60 in 1 MAME bootleg (ver 3.00, ICD-V000)","2004",bootleg,"39in1","39in1",-,YES,NO,NO,NO,NO,"39in1.cpp",PRELIMINARE,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"99bottles","99 Bottles of Beer","1999","Bally Gaming Co.",gammagic,gammagic,-,YES,NO,NO,NO,YES,gammagic.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,gammagic.cpp
alphaho,"Alpha Fighter / Head On","19??","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,vicdual.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,vicdual.cpp
