name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
bcstry,"B.C. Story (set 1)","1997","SemiCom / Tirano",-,-,-,YES,NO,NO,NO,NO,tumbleb.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,tumbleb.cpp
bcstrya,"B.C. Story (set 2)","1997","SemiCom / Tirano",bcstry,bcstry,-,YES,NO,NO,NO,NO,tumbleb.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,tumbleb.cpp
coolmini,"Cool Minigame Collection","1999",SemiCom,-,-,-,YES,NO,NO,NO,NO,vamphalf.cpp,BUONO,RASTER,"0",320,236,HORIZONTAL,vamphalf.cpp
coolminii,"Cool Minigame Collection (Italy)","1999",SemiCom,coolmini,coolmini,-,YES,NO,NO,NO,NO,vamphalf.cpp,BUONO,RASTER,"0",320,236,HORIZONTAL,vamphalf.cpp
"qcrayon2","Crayon Shinchan Orato Asobo (Japan)","1993","Taito Corporation",-,-,-,YES,NO,NO,NO,NO,"taito_f2.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"taito_f2.cpp"
sanjeon,"DaeJeon! SanJeon SuJeon (AJTUE 990412 V1.000)","1999","Sega / Deniam",sasissu,sasissu,-,YES,NO,NO,NO,NO,stv.cpp,INCOMPLETO,RASTER,"0",352,224,HORIZONTAL,stv.cpp
daiskiss,"Daisu-Kiss (ver JAA)","1996",Konami,konamigx,-,-,YES,NO,NO,NO,NO,konamigx.cpp,INCOMPLETO,RASTER,"0",288,224,HORIZONTAL,konamigx.cpp
gchgchmp,"Gachaga Champ (GE877 VER. JAB)","1999",Konami,"sys573",-,-,YES,NO,NO,NO,NO,"ksys573.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"ksys573.cpp"
"usg182","Games V18.2","1989","U.S. Games",usgames,usgames,-,YES,NO,NO,NO,NO,usgames.cpp,BUONO,RASTER,"0",400,248,HORIZONTAL,usgames.cpp
"usg185","Games V18.5","1990","U.S. Games",usgames,usgames,-,YES,NO,NO,NO,NO,usgames.cpp,BUONO,RASTER,"0",400,248,HORIZONTAL,usgames.cpp
