name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"korg707","707 Performing Synthesizer","1987",Korg,-,-,-,YES,NO,NO,NO,NO,"korgds8.cpp",PRELIMINARE,LCD,"0",120,16,HORIZONTAL,"korgds8.cpp"
hohnadam,"ADAM Advanced Digital/Analog Musical Instrument","1994",Hohner,-,-,-,YES,NO,NO,NO,NO,hohnadam.cpp,PRELIMINARE,-,"0",0,0,-,hohnadam.cpp
"alesqs7","Alesis QS7 musical keyboard","1996",Alesis,-,-,-,YES,NO,NO,NO,NO,alesis_qs.cpp,PRELIMINARE,-,"0",0,0,-,alesis_qs.cpp
"ajuno1","Alpha Juno-1 (JU-1) Programmable Polyphonic Synthesizer","1985",Roland,-,-,-,YES,NO,NO,NO,NO,alphajuno.cpp,PRELIMINARE,LCD,"0",96,8,HORIZONTAL,alphajuno.cpp
"ajuno2","Alpha Juno-2 (JU-2) Programmable Polyphonic Synthesizer","1986",Roland,-,-,-,YES,NO,NO,NO,NO,alphajuno.cpp,PRELIMINARE,LCD,"0",96,8,HORIZONTAL,alphajuno.cpp
"an1x","AN1x Control Synthesizer","1997",Yamaha,-,-,-,YES,NO,NO,NO,NO,"yman1x.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"yman1x.cpp"
discmate,"Arbiter Discmate A-02","1988","Arbiter Leisure",bbcm,bbcm,bbc,YES,NO,NO,NO,NO,bbc.cpp,PRELIMINARE,RASTER,"0",640,256,HORIZONTAL,bbc.cpp
"asr10","ASR-10","1992",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqasr.cpp,PRELIMINARE,-,"0",0,0,-,esqasr.cpp
asrx,ASR-X,"1997",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqasr.cpp,PRELIMINARE,-,"0",0,0,-,esqasr.cpp
"ax80","AX80","1984",Akai,-,-,-,YES,NO,NO,NO,NO,"akaiax80.cpp",PRELIMINARE,-,"0",0,0,-,"akaiax80.cpp"
bassstr,"BassStation Rack Analogue Synthesizer Module","1995",Novation,-,-,-,YES,NO,NO,NO,NO,basssta.cpp,PRELIMINARE,-,"0",0,0,-,basssta.cpp
"gx700","Boss GX-700 Guitar Effects Processor","1996",Roland,-,-,-,YES,NO,NO,NO,NO,"boss_sx700.cpp",PRELIMINARE,-,"0",0,0,-,"boss_sx700.cpp"
"se70","Boss SE-70 Super Effects Processor","1993",Roland,-,-,-,YES,NO,NO,NO,NO,"boss_se70.cpp",PRELIMINARE,-,"0",0,0,-,"boss_se70.cpp"
