name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
spacfurybl,"Advisor (Italian bootleg of Space Fury)","1981",bootleg,spacfury,spacfury,-,YES,NO,NO,NO,NO,"segag80v.cpp",INCOMPLETO,VECTOR,"180",0,0,-,"segag80v.cpp"
amidarc,"Amidar (Cirsa bootleg)","1982","bootleg (Cirsa)",amidar,amidar,-,YES,NO,NO,NO,NO,galaxian.cpp,PRELIMINARE,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"r800","ASCII R800",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/cpu/z80/r800.cpp"
asukaja,"Asuka & Asuka (Japan)","1988","Taito Corporation",asuka,asuka,-,YES,NO,NO,NO,NO,asuka.cpp,BUONO,RASTER,"270",320,240,VERTICAL,asuka.cpp
bucanera,"Buccaneer (set 2)","1981","hack (Video Research)",puckman,puckman,-,YES,NO,NO,NO,NO,pacman.cpp,BUONO,RASTER,"90",288,224,VERTICAL,pacman.cpp
"gt913","Casio GT913F",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/cpu/h8/gt913.cpp"
"gt913_io_hle","Casio GT913F I/O (HLE)",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/machine/gt913_io.cpp"
"gt913_intc","Casio GT913F interrupt controller",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/cpu/h8/h8_intc.cpp"
"gt913_kbd_hle","Casio GT913F keyboard controller (HLE)",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/machine/gt913_kbd.cpp"
"gt913_sound_hle","Casio GT913F sound (HLE)",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,"src/devices/machine/gt913_snd.cpp"
cityatta,"City Attack (Petaco S.A., bootleg of Pleiads)","1981","bootleg (Petaco S.A.)",pleiads,pleiads,-,YES,NO,NO,NO,NO,phoenix.cpp,INCOMPLETO,RASTER,"90",256,208,VERTICAL,phoenix.cpp
"cosmica2a","Cosmic Alien (early version II?)","1979",Universal,cosmica,cosmica,cosmica,YES,NO,NO,NO,NO,cosmic.cpp,INCOMPLETO,RASTER,"270",256,192,VERTICAL,cosmic.cpp
"cosmica22","Cosmic Alien (version II, set 2)","1979",Universal,cosmica,cosmica,cosmica,YES,NO,NO,NO,NO,cosmic.cpp,INCOMPLETO,RASTER,"270",256,192,VERTICAL,cosmic.cpp
"cosmica23","Cosmic Alien (version II, set 3)","1979",Universal,cosmica,cosmica,cosmica,YES,NO,NO,NO,NO,cosmic.cpp,INCOMPLETO,RASTER,"270",256,192,VERTICAL,cosmic.cpp
"ctk551","CTK-551","1999",Casio,-,-,-,YES,NO,NO,NO,NO,"ctk551.cpp",PRELIMINARE,LCD,"0",48,16,HORIZONTAL,"ctk551.cpp"
cscet,"Elite Champion Challenger (Travemünde TM version)","1981","Fidelity Electronics",csce,csce,-,YES,NO,NO,NO,NO,fidel_csc.cpp,BUONO,-,"0",0,0,-,fidel_csc.cpp
boatrace,"Exciting Boat Race","1993",Sega,-,-,-,YES,NO,NO,YES,NO,speedbsk.cpp,PRELIMINARE,LCD,"0",121,19,HORIZONTAL,speedbsk.cpp
floritas,"Floritas (Moon Cresta bootleg)","1980",bootleg,mooncrst,mooncrst,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
floritasm,"Floritas (Multivideo Spanish Moon Cresta bootleg)","1980","bootleg (Multivideo)",mooncrst,mooncrst,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"guttangts3","Guttang Gottong (Sede 3 bootleg on Galaxian hardware)","1982","bootleg (Sede 3)",locomotn,locomotn,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
xga_copro,"IBM XGA Coprocessor",-,-,-,-,-,NO,YES,NO,NO,NO,-,BUONO,-,"0",0,0,-,src/devices/video/pc_vga.cpp
icecoldf,"Ice Cold Beer (set 2)","1983",Taito,icecold,icecold,-,YES,NO,NO,YES,NO,icecold.cpp,PRELIMINARE,-,"0",0,0,-,icecold.cpp
komemokos,"Komemokos ('Pac-Man (Cirsa, Spanish bootleg)' hack)","199?",hack,puckman,puckman,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"270",768,224,VERTICAL,galaxian.cpp
"ks32","KS-32","1992",Ensoniq,"sq2","sq2",-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
jlasvegas,"Las Vegas (Jeutel, set 1)","198?",Jeutel,-,-,-,YES,NO,NO,NO,NO,tmspoker.cpp,PRELIMINARE,RASTER,"0",256,256,HORIZONTAL,tmspoker.cpp
