name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
ar_argh,"Aaargh (Arcadia)","1988","Arcadia Systems",ar_bios,-,-,YES,NO,NO,NO,NO,arsystems.cpp,BUONO,RASTER,"0",724,483,HORIZONTAL,arsystems.cpp
nss_actr,"Act Raiser (Nintendo Super System)","1992",Enix,nss,-,-,YES,NO,NO,NO,NO,nss.cpp,PRELIMINARE,RASTER,"0",288,216,HORIZONTAL,nss.cpp
actfancrj,"Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)","1989","Data East Corporation",actfancr,actfancr,-,YES,NO,NO,NO,NO,actfancr.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,actfancr.cpp
"actfancr1","Act-Fancer Cybernetick Hyper Weapon (World revision 1)","1989","Data East Corporation",actfancr,actfancr,-,YES,NO,NO,NO,NO,actfancr.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,actfancr.cpp
"actfancr2","Act-Fancer Cybernetick Hyper Weapon (World revision 2)","1989","Data East Corporation",actfancr,actfancr,-,YES,NO,NO,NO,NO,actfancr.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,actfancr.cpp
actfancr,"Act-Fancer Cybernetick Hyper Weapon (World revision 3)","1989","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,actfancr.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,actfancr.cpp
akumajoun,"Akuma-Jou Dracula (Japan version N)","1988",Konami,hcastle,hcastle,-,YES,NO,NO,NO,NO,hcastle.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,hcastle.cpp
akumajou,"Akuma-Jou Dracula (Japan version P)","1988",Konami,hcastle,hcastle,-,YES,NO,NO,NO,NO,hcastle.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,hcastle.cpp
aladmdb,"Aladdin (bootleg of Japanese Megadrive version)","1993","bootleg / Sega",-,-,-,YES,NO,NO,NO,NO,megadriv_acbl.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,megadriv_acbl.cpp
"alexkidd1","Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021)","1986",Sega,alexkidd,alexkidd,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
alexkidd,"Alex Kidd: The Lost Stars (set 2, unprotected)","1986",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
astormbl,"Alien Storm (bootleg, set 1)","1990",bootleg,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18_astormbl.cpp",INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,"segas18_astormbl.cpp"
"astormb2","Alien Storm (bootleg, set 2)","1990",bootleg,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18_astormbl.cpp",INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,"segas18_astormbl.cpp"
astormjd,"Alien Storm (Japan, 2 Players) (bootleg of FD1094 317-0146 set)","1990",bootleg,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
astormj,"Alien Storm (Japan, 2 Players) (FD1094 317-0146)","1990",Sega,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
mt_astrm,"Alien Storm (Mega-Tech)","1990",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
astormud,"Alien Storm (US, 3 Players) (bootleg of FD1094 317-0147 set)","1990",bootleg,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
astormu,"Alien Storm (US, 3 Players) (FD1094 317-0147)","1990",Sega,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
astorm,"Alien Storm (World, 2 Players) (FD1094 317-0154)","1990",Sega,-,-,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
"astorm3d","Alien Storm (World, 3 Players) (bootleg of FD1094 317-0148 set)","1990",bootleg,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
"astorm3","Alien Storm (World, 3 Players) (FD1094 317-0148)","1990",Sega,astorm,astorm,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
aliensa,"Aliens (Asia)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
aliensj,"Aliens (Japan set 1)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
"aliensj2","Aliens (Japan set 2)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
aliensu,"Aliens (US)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
aliens,"Aliens (World set 1)","1990",Konami,-,-,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
"aliens2","Aliens (World set 2)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
"aliens3","Aliens (World set 3)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
"aliens4","Aliens (World set 4)","1990",Konami,aliens,aliens,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
"altbeastbl2","Altered Beast (bootleg)","1988",bootleg,altbeast,altbeast,-,YES,NO,NO,NO,NO,"system16.cpp",PRELIMINARE,RASTER,"0",320,224,HORIZONTAL,"system16.cpp"
altbeastbl,"Altered Beast (Datsu bootleg)","1988","bootleg (Datsu)",altbeast,altbeast,-,YES,NO,NO,NO,NO,"system16.cpp",PRELIMINARE,RASTER,"0",320,224,HORIZONTAL,"system16.cpp"
mt_beast,"Altered Beast (Mega-Tech)","1988",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
"altbeast2","Altered Beast (set 2) (MC-8123B 317-0066)","1988",Sega,altbeast,altbeast,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"altbeast4","Altered Beast (set 4) (MC-8123B 317-0066)","1988",Sega,altbeast,altbeast,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"altbeast5d","Altered Beast (set 5) (bootleg of FD1094 317-0069 set)","1988",bootleg,altbeast,altbeast,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"altbeast5","Altered Beast (set 5) (FD1094 317-0069)","1988",Sega,altbeast,altbeast,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
"altbeast6","Altered Beast (set 6) (8751 317-0076)","1988",Sega,altbeast,altbeast,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
altbeast,"Altered Beast (set 8) (8751 317-0078)","1988",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
arabian,Arabian,"1983","Sun Electronics",-,-,-,YES,NO,NO,NO,NO,arabian.cpp,BUONO,RASTER,"270",256,234,VERTICAL,arabian.cpp
arabiana,"Arabian (Atari)","1983","Sun Electronics (Atari license)",arabian,arabian,-,YES,NO,NO,NO,NO,arabian.cpp,BUONO,RASTER,"270",256,234,VERTICAL,arabian.cpp
rygarj,"Argus no Senshi (Japan)","1986",Tecmo,rygar,rygar,-,YES,NO,NO,NO,NO,tecmo.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,tecmo.cpp
"armwarar1","Armored Warriors (Asia 940920)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
armwara,"Armored Warriors (Asia 941024)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
armwarb,"Armored Warriors (Brazil 941024)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"armwar1d","Armored Warriors (Euro 941011 Phoenix Edition) (bootleg)","1994",bootleg,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"armwarr1","Armored Warriors (Euro 941011)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
armwar,"Armored Warriors (Euro 941024)","1994",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"armwaru1","Armored Warriors (USA 940920)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
armwaru,"Armored Warriors (USA 941024)","1994",Capcom,armwar,armwar,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
athena,Athena,"1986",SNK,-,-,-,YES,NO,NO,NO,NO,snk.cpp,BUONO,RASTER,"0",288,216,HORIZONTAL,snk.cpp
athenab,"Athena (bootleg)","1986",SNK,athena,athena,-,YES,NO,NO,NO,NO,snk.cpp,BUONO,RASTER,"0",288,216,HORIZONTAL,snk.cpp
atombjt,"Atom (bootleg of Bombjack Twin)","1993","bootleg (Kyon K.)",bjtwin,bjtwin,-,YES,NO,NO,NO,NO,powerbal.cpp,INCOMPLETO,RASTER,"270",384,224,VERTICAL,powerbal.cpp
atomboya,"Atomic Boy (revision A)","1985","Irem (Memetron license)",wilytowr,wilytowr,-,YES,NO,NO,NO,NO,"m63.cpp",BUONO,RASTER,"180",256,224,HORIZONTAL,"m63.cpp"
atomboy,"Atomic Boy (revision B)","1985","Irem (Memetron license)",wilytowr,wilytowr,-,YES,NO,NO,NO,NO,"m63.cpp",BUONO,RASTER,"180",256,224,HORIZONTAL,"m63.cpp"
automat,"Automat (bootleg of Robocop)","1988",bootleg,robocop,robocop,-,YES,NO,NO,NO,NO,"dec0.cpp",PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,"dec0.cpp"
avspirit,"Avenging Spirit","1991",Jaleco,-,-,-,YES,NO,NO,NO,NO,"megasys1.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"megasys1.cpp"
bonkadv,"B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin","1994",Kaneko,-,-,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko16.cpp"
baddudes,"Bad Dudes vs. Dragonninja (US revision 1)","1988","Data East USA",-,-,-,YES,NO,NO,NO,NO,"dec0.cpp",BUONO,RASTER,"0",256,240,HORIZONTAL,"dec0.cpp"
kbadlands,"Badlands (Konami, set 1)","1984",Konami,-,-,-,YES,NO,NO,NO,YES,konblands.cpp,PRELIMINARE,RASTER,"0",704,480,HORIZONTAL,konblands.cpp
kbadlandsh,"Badlands (Konami, set 2)","1984",Konami,kbadlands,kbadlands,-,YES,NO,NO,NO,YES,konblands.cpp,PRELIMINARE,RASTER,"0",704,480,HORIZONTAL,konblands.cpp
bagman,Bagman,"1982","Valadon Automation",-,-,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"270",256,224,VERTICAL,bagman.cpp
bagmanmc,"Bagman (bootleg on Moon Cresta hardware, set 1)","1982",bootleg,bagman,bagman,-,YES,NO,NO,NO,NO,galaxian.cpp,INCOMPLETO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"bagmanm2","Bagman (bootleg on Moon Cresta hardware, set 2)","1984","bootleg (GIB)",bagman,bagman,-,YES,NO,NO,NO,NO,galaxian.cpp,INCOMPLETO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
"bagmans3","Bagman (Stern Electronics, revision A3)","1982","Valadon Automation (Stern Electronics license)",bagman,bagman,-,YES,NO,NO,NO,NO,bagman.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,bagman.cpp
"bagmans4","Bagman (Stern Electronics, revision A4)","1982","Valadon Automation (Stern Electronics license)",bagman,bagman,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"270",256,224,VERTICAL,bagman.cpp
bagmans,"Bagman (Stern Electronics, revision A5)","1982","Valadon Automation (Stern Electronics license)",bagman,bagman,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"270",256,224,VERTICAL,bagman.cpp
bagmanj,"Bagman (Taito)","1982","Valadon Automation (Taito license)",bagman,bagman,-,YES,NO,NO,NO,NO,bagman.cpp,BUONO,RASTER,"270",256,224,VERTICAL,bagman.cpp
ballboy,"Ball Boy (2 players)","2003",bootleg,"snowbro3","snowbro3",-,YES,NO,NO,NO,NO,snowbros.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,snowbros.cpp
"ballboy3p","Ball Boy (3 players)","2004",bootleg,"snowbro3","snowbro3",-,YES,NO,NO,NO,NO,snowbros.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,snowbros.cpp
pc_bfght,"Balloon Fight (PlayChoice-10)","1984",Nintendo,"playch10",-,-,YES,NO,NO,NO,NO,"playch10.cpp",BUONO,RASTER,"0",256,240,HORIZONTAL,"playch10.cpp"
baluba,"Baluba-louk no Densetsu (Japan)","1986","Able Corp, Ltd.",-,-,-,YES,NO,NO,NO,NO,senjyo.cpp,BUONO,RASTER,"90",256,224,VERTICAL,senjyo.cpp
