name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"3x3puzzl","3X3 Puzzle (Enterprise)","1998","Ace Enterprise",-,-,-,YES,NO,NO,NO,NO,"3x3puzzl.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"3x3puzzl.cpp"
"3x3puzzla","3X3 Puzzle (Normal)","1998","Ace Enterprise","3x3puzzl","3x3puzzl",-,YES,NO,NO,NO,NO,"3x3puzzl.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"3x3puzzl.cpp"
"4enraya","4 En Raya (set 1)","1990",IDSA,-,-,-,YES,NO,NO,NO,NO,"4enraya.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"4enraya.cpp"
"4enrayaa","4 En Raya (set 2)","1990",IDSA,"4enraya","4enraya",-,YES,NO,NO,NO,NO,"4enraya.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"4enraya.cpp"
agressb,"Agress - Missile Daisenryaku (English bootleg)","2003",bootleg,agress,agress,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
agress,"Agress - Missile Daisenryaku (Japan)","1991",Palco,-,-,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
aquarush,"Aqua Rush (Japan, AQ1/VER.A1)","1999",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos12.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos12.cpp"
aquariumj,"Aquarium (Japan)","1996","Excellent System",aquarium,aquarium,-,YES,NO,NO,NO,NO,aquarium.cpp,BUONO,RASTER,"0",320,256,HORIZONTAL,aquarium.cpp
aquarium,"Aquarium (US)","1996","Excellent System",-,-,-,YES,NO,NO,NO,NO,aquarium.cpp,BUONO,RASTER,"0",320,256,HORIZONTAL,aquarium.cpp
atomicp,"Atomic Point (Korea)","1990",Philko,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
azumanga,"Azumanga Daioh Puzzle Bobble (GDL-0018)","2002","MOSS (Taito license)",naomigd,-,-,YES,NO,NO,NO,YES,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
bakubaku,"Baku Baku Animal (J 950407 V1.000)","1995",Sega,stvbios,-,-,YES,NO,NO,NO,NO,stv.cpp,INCOMPLETO,RASTER,"0",352,224,HORIZONTAL,stv.cpp
ballbros,"Balloon Brothers","1992","East Technology",-,-,-,YES,NO,NO,NO,NO,taito_x.cpp,BUONO,RASTER,"0",384,240,HORIZONTAL,taito_x.cpp
bangball,"Bang Bang Ball (v1.05)","1996","Banpresto / Kunihiko Tashiro+Goodhouse",-,-,-,YES,NO,NO,NO,NO,metro.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,metro.cpp
barrier,Barrier,"1979","Cinematronics (Vectorbeam license)",-,-,-,YES,NO,NO,NO,NO,cinemat.cpp,BUONO,VECTOR,"270",0,0,-,cinemat.cpp
batlballo,"Battle Balls (Germany, earlier)","1995","Seibu Kaihatsu (Tuning license)",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlball,"Battle Balls (Germany, newer)","1995","Seibu Kaihatsu (Tuning license)",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlballe,"Battle Balls (Hong Kong, earlier)","1995","Seibu Kaihatsu (Metrotainment license)",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlballa,"Battle Balls (Hong Kong)","1995","Seibu Kaihatsu (Metrotainment license)",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlballpt,"Battle Balls (Portugal)","1995","Seibu Kaihatsu",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlballu,"Battle Balls (US)","1995","Seibu Kaihatsu (Fabtek license)",senkyu,senkyu,-,YES,NO,NO,NO,NO,seibuspi.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,seibuspi.cpp
batlbubl,"Battle Bubble (v2.00)","1999","Banpresto (Limenko license?)",bangball,bangball,-,YES,NO,NO,NO,NO,metro.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,metro.cpp
beautyb,"Beauty Block","1991",AMT,-,-,-,YES,NO,NO,NO,NO,"system16.cpp",PRELIMINARE,RASTER,"0",320,224,HORIZONTAL,"system16.cpp"
"beezer1","Beezer (unknown earlier version)","1982","Tong Electronic",beezer,beezer,-,YES,NO,NO,NO,NO,beezer.cpp,INCOMPLETO,RASTER,"90",288,240,VERTICAL,beezer.cpp
beezer,"Beezer (version 9.0)","1982","Tong Electronic",-,-,-,YES,NO,NO,NO,NO,beezer.cpp,INCOMPLETO,RASTER,"90",288,240,VERTICAL,beezer.cpp
bigtwin,"Big Twin","1995",Playmark,-,-,-,YES,NO,NO,NO,NO,playmark.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,playmark.cpp
bigtwinb,"Big Twin (No Girls Conversion)","1995",Playmark,bigtwin,bigtwin,-,YES,NO,NO,NO,NO,playmark.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,playmark.cpp
bikkuric,"Bikkuri Card (Japan)","1987",Peni,-,-,-,YES,NO,NO,NO,NO,timeplt.cpp,BUONO,RASTER,"90",256,224,VERTICAL,timeplt.cpp
blktouch,"Black Touch (Korea)","199?","Yang Gi Co Ltd.",-,-,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"0",512,240,HORIZONTAL,dynax.cpp
blockhl,"Block Hole","1989",Konami,-,-,-,YES,NO,NO,NO,NO,blockhl.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,blockhl.cpp
"blockout3","Block Out (Europe and Oceania)","1989","Technos Japan / California Dreams",blockout,blockout,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
blockoutj,"Block Out (Japan)","1989","Technos Japan / California Dreams",blockout,blockout,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
blockout,"Block Out (set 1)","1989","Technos Japan / California Dreams",-,-,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
"blockout2","Block Out (set 2)","1989","Technos Japan / California Dreams",blockout,blockout,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
blkbustr,BlockBuster,"1983","Kiwako (ECI license)",mrjong,mrjong,-,YES,NO,NO,NO,NO,mrjong.cpp,BUONO,RASTER,"90",240,224,VERTICAL,mrjong.cpp
bloxeedd,"Bloxeed (Japan) (bootleg of FD1094 317-0139 set)","1989",bootleg,bloxeed,bloxeed,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
bloxeed,"Bloxeed (Japan) (FD1094 317-0139)","1989",Sega,-,-,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
bloxeedu,"Bloxeed (US, C System, Rev A)","1989","Sega / Elorg",bloxeed,bloxeed,-,YES,NO,NO,NO,NO,"segac2.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"segac2.cpp"
bloxeedc,"Bloxeed (World, C System)","1989","Sega / Elorg",bloxeed,bloxeed,-,YES,NO,NO,NO,NO,"segac2.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"segac2.cpp"
bsebman,"Bomberman (Version 6.6)","19??","BS Electronics",carrera,carrera,-,YES,NO,NO,NO,NO,carrera.cpp,BUONO,RASTER,"0",512,256,HORIZONTAL,carrera.cpp
bballs,"Bouncing Balls","1991",Comad,-,-,-,YES,NO,NO,NO,NO,tigeroad.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,tigeroad.cpp
bballsa,"Bouncing Balls (Adult)","1991",Comad,bballs,bballs,-,YES,NO,NO,NO,NO,tigeroad.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,tigeroad.cpp
brickppl,"Brick People / Block PeePoo (Ver 1.002)","2009",Sega,segasp,-,-,YES,NO,NO,NO,NO,segasp.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,segasp.cpp
"bubl2000","Bubble 2000","1998","Afega (Tuning license)",-,-,-,YES,NO,NO,NO,NO,"nmk16.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"nmk16.cpp"
"bubl2000a","Bubble 2000 V1.2","1998","Afega (Tuning license)","bubl2000","bubl2000",-,YES,NO,NO,NO,NO,"nmk16.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"nmk16.cpp"
bublbust,"Bubble Buster (USA, B-System)","1994","Taito America Corporation",pbobble,pbobble,-,YES,NO,NO,NO,NO,taito_b.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,taito_b.cpp
