name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
qos,"A Question of Sport (set 1, 39-960-107)","1992",BFM,-,-,-,YES,NO,NO,NO,NO,bfcobra.cpp,INCOMPLETO,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
qosa,"A Question of Sport (set 2, 39-960-099)","1992",BFM,qos,qos,-,YES,NO,NO,NO,NO,bfcobra.cpp,INCOMPLETO,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
qosb,"A Question of Sport (set 3, 39-960-089)","1992",BFM,qos,qos,-,YES,NO,NO,NO,NO,bfcobra.cpp,INCOMPLETO,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
abcheck,"Abnormal Check","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcond1.cpp",PRELIMINARE,RASTER,"0",288,224,HORIZONTAL,"namcond1.cpp"
"v4addlad20","Adders and Ladders (v2.0) (MPU4 Video)","1989",Barcrest,"v4addlad","v4addlad",-,YES,NO,NO,NO,NO,"mpu4vid.cpp",INCOMPLETO,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
"v4addlad","Adders and Ladders (v2.1) (MPU4 Video)","1989",Barcrest,"v4bios",-,-,YES,NO,NO,NO,NO,"mpu4vid.cpp",INCOMPLETO,RASTER,"0",504,296,HORIZONTAL,"mpu4vid.cpp"
hatena,"Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)","1990",Capcom,-,-,-,YES,NO,NO,NO,NO,mitchell.cpp,BUONO,RASTER,"0",384,240,HORIZONTAL,mitchell.cpp
"cworld2ja","Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)","1992",Capcom,"cworld2j","cworld2j",-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps1.cpp"
"cworld2jb","Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)","1992",Capcom,"cworld2j","cworld2j",-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps1.cpp"
"cworld2j","Adventure Quiz Capcom World 2 (Japan 920611)","1992",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps1.cpp"
atehate,"Athena no Hatena?","1993",Athena,-,-,-,YES,NO,NO,NO,NO,seta.cpp,BUONO,RASTER,"0",384,240,HORIZONTAL,seta.cpp
bbchall,"Baby Boom Challenge","1986","Status Games",-,-,-,YES,NO,NO,NO,NO,"statriv2.cpp",PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,"statriv2.cpp"
bkrtmaq,"Bakuretsu Quiz Ma-Q Dai Bouken (Japan)","1992",Namco,-,-,-,YES,NO,NO,NO,NO,"namcona1.cpp",BUONO,RASTER,"0",304,224,HORIZONTAL,"namcona1.cpp"
beeline,"Beeline (39-360-075)","1991",BFM,-,-,-,YES,NO,NO,NO,NO,bfcobra.cpp,PRELIMINARE,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
bigbucks,"Big Bucks","1986","Dynasoft Inc.",-,-,-,YES,NO,NO,NO,NO,pacman.cpp,BUONO,RASTER,"90",288,224,VERTICAL,pacman.cpp
cworld,"Capcom World (Japan)","1989",Capcom,-,-,-,YES,NO,NO,NO,NO,mitchell.cpp,BUONO,RASTER,"0",384,240,HORIZONTAL,mitchell.cpp
cashquiz,"Cash Quiz (Type B, Version 5)","1986",Zilec-Zenitone,-,-,-,YES,NO,NO,NO,NO,pingpong.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,pingpong.cpp
ultrchmph,"Cheng Ba Shi Jie - Chao Shi Kong Guan Jun (Taiwan)","1995",Nakanihon,nettoqc,nettoqc,-,YES,NO,NO,NO,NO,ddenlovr.cpp,INCOMPLETO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
marukodq,"Chibi Maruko-chan: Maruko Deluxe Quiz","1995",Takara,neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"cluedo2","Cluedo (prod. 2)","1995",JPM,cluedo,cluedo,-,YES,NO,NO,NO,NO,jpmimpct.cpp,INCOMPLETO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
"cluedo2c","Cluedo (prod. 2C)","1995",JPM,cluedo,cluedo,-,YES,NO,NO,NO,NO,jpmimpct.cpp,INCOMPLETO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
cluedo,"Cluedo (prod. 2D)","1995",JPM,-,-,-,YES,NO,NO,NO,NO,jpmimpct.cpp,INCOMPLETO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
cluedod,"Cluedo (prod. 2D) (Protocol)","1995",JPM,cluedo,cluedo,-,YES,NO,NO,NO,NO,jpmimpct.cpp,INCOMPLETO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
atamanot,"Computer Quiz Atama no Taisou (Japan)","1983","Yachiyo Denki / Uni Enterprize",-,-,-,YES,NO,NO,NO,NO,ssingles.cpp,PRELIMINARE,RASTER,"90",256,256,VERTICAL,ssingles.cpp
coronatn,"Coronation Street Quiz Game","1999",JPM,-,-,-,YES,NO,NO,NO,NO,jpmimpct.cpp,BUONO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
coronatnd,"Coronation Street Quiz Game (Protocol)","1999",JPM,coronatn,coronatn,-,YES,NO,NO,NO,NO,jpmimpct.cpp,BUONO,RASTER,"0",400,300,HORIZONTAL,jpmimpct.cpp
danchiq,"Danchi de Quiz: Okusan Yontaku Desuyo! (J 001128 V1.200)","2000",Altron,stvbios,-,-,YES,NO,NO,NO,NO,stv.cpp,INCOMPLETO,RASTER,"0",352,224,HORIZONTAL,stv.cpp
dquizgo,"Date Quiz Go Go (Korea)","1998","SemiCom / AceVer",-,-,-,YES,NO,NO,NO,NO,tumbleb.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,tumbleb.cpp
"dquizgo2","Date Quiz Go Go Episode 2","2000",SemiCom,-,-,-,YES,NO,NO,NO,NO,vamphalf.cpp,BUONO,RASTER,"0",320,236,HORIZONTAL,vamphalf.cpp
"dtrvwz5","Deluxe Trivia ? Whiz (6221-70, U5-0A Edition 5)","1987",Merit,-,-,-,YES,NO,NO,NO,NO,merit.cpp,BUONO,RASTER,"0",512,256,HORIZONTAL,merit.cpp
mdhorse,"Derby Quiz My Dream Horse (Japan, MDH1/VER.A2)","1998","MOSS / Namco",-,-,-,YES,NO,NO,NO,NO,"namcos12.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"namcos12.cpp"
keithlcy,"Dramatic Adventure Quiz Keith & Lucy (Japan)","1993",Visco,-,-,-,YES,NO,NO,NO,NO,ssv.cpp,BUONO,RASTER,"0",336,238,HORIZONTAL,ssv.cpp
enmadaio,"Enma Daio (Japan)","1993","Toaplan / Taito",-,-,-,YES,NO,NO,NO,NO,"toaplan2.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"toaplan2.cpp"
escounts,"Every Second Counts (39-360-053)","1990",BFM,-,-,-,YES,NO,NO,NO,NO,bfcobra.cpp,INCOMPLETO,RASTER,"0",512,256,HORIZONTAL,bfcobra.cpp
fax,FAX,"1983",Exidy,-,-,-,YES,NO,NO,NO,NO,exidy.cpp,BUONO,RASTER,"0",256,256,HORIZONTAL,exidy.cpp
"fax2","FAX 2","1983",Exidy,fax,fax,-,YES,NO,NO,NO,NO,exidy.cpp,BUONO,RASTER,"0",256,256,HORIZONTAL,exidy.cpp
findout,"Find Out (Version 4.04)","1987",Elettronolo,-,-,-,YES,NO,NO,NO,NO,gei.cpp,INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,gei.cpp
