name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"bm1stmix","beatmania (ver JA-B)","1997",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm2ndmxa","beatmania 2nd MIX (ver JA-A)","1998",Konami,"bm2ndmix","bm2ndmix",-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm2ndmix","beatmania 2nd MIX (ver JA-B)","1998",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm3rdmix","beatmania 3rd MIX (ver JA-A)","1998",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm4thmix","beatmania 4th MIX (ver JA-A)","1999",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm5thmix","beatmania 5th MIX (ver JA-A)","1999",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm6thmix","beatmania 6th MIX (ver JA-A)","2001",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bm7thmix","beatmania 7th MIX (ver JA-B)","2001",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
bmclubmx,"beatmania Club MIX (ver JA-A)","2000",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
bmcmxaac,"beatmania complete MIX (ver AA-C)","1999",Konami,bmcompmx,bmcompmx,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
bmcompmx,"beatmania complete MIX (ver JA-B)","1999",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
"bmcompm2","beatmania complete MIX 2 (ver JA-A)","2000",Konami,-,-,-,YES,NO,NO,NO,YES,djmain.cpp,INCOMPLETO,RASTER,"0",488,384,HORIZONTAL,djmain.cpp
