name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"99lstwarb","'99: The Last War (bootleg)","1985",bootleg,repulse,repulse,-,YES,NO,NO,NO,NO,kyugo.cpp,INCOMPLETO,RASTER,"90",288,224,VERTICAL,kyugo.cpp
"99lstwark","'99: The Last War (Kyugo)","1985","Crux / Kyugo",repulse,repulse,-,YES,NO,NO,NO,NO,kyugo.cpp,BUONO,RASTER,"90",288,224,VERTICAL,kyugo.cpp
"99lstwar","'99: The Last War (set 1)","1985","Crux / Proma",repulse,repulse,-,YES,NO,NO,NO,NO,kyugo.cpp,BUONO,RASTER,"90",288,224,VERTICAL,kyugo.cpp
"99lstwara","'99: The Last War (set 2)","1985","Crux / Proma",repulse,repulse,-,YES,NO,NO,NO,NO,kyugo.cpp,BUONO,RASTER,"90",288,224,VERTICAL,kyugo.cpp
"1941j","1941: Counter Attack (Japan)","1990",Capcom,"1941","1941",-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"cps1.cpp"
"1941u","1941: Counter Attack (USA 900227)","1990",Capcom,"1941","1941",-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"cps1.cpp"
"1941","1941: Counter Attack (World 900227)","1990",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"cps1.cpp"
"1941r1","1941: Counter Attack (World)","1990",Capcom,"1941","1941",-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"cps1.cpp"
"1942b","1942 (First Version)","1984",Capcom,"1942","1942",-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"pc_1942","1942 (PlayChoice-10)","1987",Capcom,"playch10",-,-,YES,NO,NO,NO,NO,"playch10.cpp",INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,"playch10.cpp"
"1942abl","1942 (Revision A, bootleg)","1984",bootleg,"1942","1942",-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"1942a","1942 (Revision A)","1984",Capcom,"1942","1942",-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"1942","1942 (Revision B)","1984",Capcom,-,-,-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"1942p","1942 (Tecfri PCB, bootleg?)","1984",bootleg,"1942","1942",-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"1942w","1942 (Williams Electronics license)","1985","Capcom (Williams Electronics license)","1942","1942",-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1942.cpp"
"1943kai","1943 Kai: Midway Kaisen (Japan)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943b","1943: Battle of Midway (bootleg, hack of Japan set)","1987",bootleg,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943bj","1943: Midway Kaisen (bootleg)","1987",bootleg,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943jah","1943: Midway Kaisen (Japan, no protection hack)","1987",Capcom,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943j","1943: Midway Kaisen (Japan, Rev B)","1987",Capcom,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943ja","1943: Midway Kaisen (Japan)","1987",Capcom,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943","1943: The Battle of Midway (Euro)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943u","1943: The Battle of Midway (US, Rev C)","1987",Capcom,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943ua","1943: The Battle of Midway (US)","1987",Capcom,"1943","1943",-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943mii","1943: The Battle of Midway Mark II (US)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1944","1944: The Loop Master (Euro 000620)","2000","Eighting / Raizing (Capcom license)",-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"1944j","1944: The Loop Master (Japan 000620)","2000","Eighting / Raizing (Capcom license)","1944","1944",-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"1944d","1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)","2000",bootleg,"1944","1944",-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"1944u","1944: The Loop Master (USA 000620)","2000","Eighting / Raizing (Capcom license)","1944","1944",-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
