name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"88games","'88 Games","1988",Konami,-,-,-,YES,NO,NO,NO,NO,"88games.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"88games.cpp"
"1on1gov","1 on 1 Government (Japan)","2000",Tecmo,"coh1002m",-,-,YES,NO,NO,NO,NO,zn.cpp,INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,zn.cpp
"10yard85","10-Yard Fight '85 (US, Taito license)","1985","Irem (Taito license)","10yard","10yard",-,YES,NO,NO,NO,NO,"m58.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"m58.cpp"
"10yardj","10-Yard Fight (Japan)","1983",Irem,"10yard","10yard",-,YES,NO,NO,NO,NO,"m58.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"m58.cpp"
"10yard","10-Yard Fight (World, set 1)","1983",Irem,-,-,-,YES,NO,NO,NO,NO,"m58.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"m58.cpp"
"cprogolf18","18 Challenge Pro Golf (DECO Cassette) (Japan)","1982","Data East Corporation",cprogolf,cprogolf,-,YES,NO,NO,NO,NO,decocass.cpp,BUONO,RASTER,"270",256,240,VERTICAL,decocass.cpp
progolf,"18 Holes Pro Golf (set 1)","1981","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,progolf.cpp,INCOMPLETO,RASTER,"270",256,256,VERTICAL,progolf.cpp
progolfa,"18 Holes Pro Golf (set 2)","1981","Data East Corporation",progolf,progolf,-,YES,NO,NO,NO,NO,progolf.cpp,PRELIMINARE,RASTER,"270",256,256,VERTICAL,progolf.cpp
"spikes91","1991 Spikes (Italian bootleg, set 1)","1991",bootleg,pspikes,pspikes,-,YES,NO,NO,NO,NO,aerofgt.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,aerofgt.cpp
"spikes91b","1991 Spikes (Italian bootleg, set 2)","1991",bootleg,pspikes,pspikes,-,YES,NO,NO,NO,NO,aerofgt.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,aerofgt.cpp
openice,"2 On 2 Open Ice Challenge (rev 1.21)","1995",Midway,-,-,-,YES,NO,NO,NO,NO,midwunit.cpp,BUONO,RASTER,"0",400,254,HORIZONTAL,midwunit.cpp
openicea,"2 On 2 Open Ice Challenge (rev 1.2A)","1995",Midway,openice,openice,-,YES,NO,NO,NO,NO,midwunit.cpp,BUONO,RASTER,"0",400,254,HORIZONTAL,midwunit.cpp
"2020bb","2020 Super Baseball (set 1)","1991","SNK / Pallas",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"2020bba","2020 Super Baseball (set 2)","1991","SNK / Pallas","2020bb","2020bb",-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"2020bbh","2020 Super Baseball (set 3)","1991","SNK / Pallas","2020bb","2020bb",-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"3countb","3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)","1993",SNK,neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"3on3dunk","3 On 3 Dunk Madness (US, prototype? 1997/02/04)","1996","Video System Co.",-,-,-,YES,NO,NO,NO,NO,inufuku.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,inufuku.cpp
"bowl3d","3-D Bowling","1978","Meadows Games, Inc.",-,-,"bowl3d",YES,NO,NO,NO,NO,meadows.cpp,PRELIMINARE,RASTER,"90",256,224,VERTICAL,meadows.cpp
