name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"2001tgm","2001: The Game Machine","1978",Waddingtons,-,-,-,YES,NO,NO,NO,NO,gamemachine.cpp,INCOMPLETO,-,"0",0,0,-,gamemachine.cpp
jantotsu,"4nin-uchi Mahjong Jantotsu","1983",Sanritsu,-,-,-,YES,NO,NO,NO,NO,jantotsu.cpp,BUONO,RASTER,"270",256,224,VERTICAL,jantotsu.cpp
"7mezzo","7 e Mezzo","198?",-,-,-,-,YES,NO,NO,NO,NO,magicfly.cpp,BUONO,RASTER,"0",256,232,HORIZONTAL,magicfly.cpp
"7jigen","7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)","1990",Dynax,-,-,-,YES,NO,NO,NO,NO,dynax.cpp,INCOMPLETO,RASTER,"180",508,240,HORIZONTAL,dynax.cpp
abunai,"Abunai Houkago - Mou Matenai (Japan 890325)","1989","Green Soft",-,-,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
aimode,"Ai-mode - Pet Shiiku (Japan)","1999",Nichibutsu/eic,nichidvd,-,-,YES,NO,NO,NO,YES,"csplayh5.cpp",PRELIMINARE,RASTER,"0",543,465,HORIZONTAL,"csplayh5.cpp"
mjapinky,"Almond Pinky [BET] (Japan)","1988",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
apparel,"Apparel Night (Japan 860929)","1986","Central Denshi",-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
ataxxe,"Ataxx (Europe)","1990","Leland Corporation",ataxx,ataxx,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,leland.cpp
ataxxj,"Ataxx (Japan)","1990","Leland Corporation (Capcom license)",ataxx,ataxx,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,leland.cpp
ataxxa,"Ataxx (rev 4)","1990","Leland Corporation",ataxx,ataxx,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,leland.cpp
ataxx,"Ataxx (rev 5)","1990","Leland Corporation",-,-,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,leland.cpp
hnageman,"AV Hanafuda Hana no Ageman (Japan 900716)","1990","Nichibutsu / AV Japan",-,-,-,YES,NO,NO,NO,YES,"nbmj8891.cpp",PRELIMINARE,RASTER,"180",512,240,HORIZONTAL,"nbmj8891.cpp"
hnxmasev,"AV Hanafuda Hana no Christmas Eve (Japan 901204)","1990","Nichibutsu / AV Japan",-,-,-,YES,NO,NO,NO,YES,"nbmj8891.cpp",PRELIMINARE,RASTER,"180",512,240,HORIZONTAL,"nbmj8891.cpp"
"av2mj1bb","AV2Mahjong No.1 Bay Bridge no Seijo (Japan)","1991","Miki Syouji / AV Japan",-,-,-,YES,NO,NO,NO,YES,"nbmj8991.cpp",PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,"nbmj8991.cpp"
